questions,answers
asking about fertilizer dose in mango,recommended to apply urea - 200 g ssp -250 and mop- 180 g per plant
asking about control measure of leaf spot,recommended to spray saaf @ 1 g per lit of water twice after 5 days interval
asking about the fertilizer dose of bhut jolokia,"suggested him to aplly urea-16 kg,ssp- 8 kg and mop-8 kg per bigha"
asking about the spacing in chilli,"suggested him to plant- plant- 100cm, and row-row-75 cm"
asking about control measure of caterpillar,recommended to spray rogor @ 2 ml per lit of water twice after 5 days interval
asking about the trainig,told him to visit kvk
asking about the control of rodents in rice field,suggested him to apply zinc phosphide
query regarding lameness of a bullock,melonex plus bolus  2 bolus bice in daily
asking about the fertilizer dose of bhut jalakia,"suggested him to apply urea-16 kg, ssp- 8kg, and mop- 8 kg per bigha"
asking about the nutrient management in paddy,suggested him to apply tracel @2gm/lit of water
asking about the control measure powdery mildew in papaya,suggested him to spray contaf @1ml/lit of water
asking about the control measure powdery mildew in papaya,suggested him to spray contaf @1ml/lit of water
asking about cultivation practices of citrus,suggested him to cutting semi hard wood
query regarding feed additive  during last trimester of pregnency,extra  calcium supplement can be given with multivitamin
query regarding some goat,genticyn e/ e drop 2-3 drops on affected eye
query regarding eye infection of a capra hircus,genticyn  eye drop 2-3 drops to be apply on the affected eye
query regarding variety of ahu rice.,"advise to grow varieties like luit, kapili."
query regarding variety of brinjal.,"advise to grow varieties like pusa purple long, joshi and pusa kranti."
asking about the fertilizer dose for pumpkin,"recommended to apply dried cowdung,urea 14 kg/bigha,ssp 32 kg/bigha,mop 12 kg/bigha"
asking about the nutrient management in pumpkin,told him to spray tracel 2 @ 2gm / l of water
asking about recommended variety of okra,recommended to used variety prabhani kranti
asking about variety of tomato,recommended to used variety pusa ruby or punjab chuhara
query regarding variety of okra.,"advise to grow varieties like pusa sawani, arka anamika and prabhani kranti etc."
query regarding infection in broiler,topicure  for  topical application tetracycline powder 3-4 gm/ lits of water
query regarding fertilizer dose in rice,advised to apply urea:ssp:mop @ 19:27:8 kg/bigha with 2kg/bigha znso4 and 1 kg/bigha borax
asking about the cultural practices in coconut,"sowing nut -1m wide and 30 cm raised beds of required length should be prepared
planting distance-7.5m*7.5m
pit size-1m*1m*1m
pit filling-mixture of top soil,20 kg cowdung(gobar)and 100gm og 5%malathion dust upto 2/3rd of pit"
asking about how to control debility in cow,advice to administer brotone @40-50ml daily for 5-7 days;also administer ors @2 packet daily for 3-5 days at morning and evening time
asking about the fruit flies in bottle gourd,told him to spray malathion 50 ec @2ml / l of water
asking about variety of brinjal,recommended to used variety pusa kranti
asking about treatment of worms infestation in piglet.,suggested to administer panacur 150 mg tab @ 1 tab/30 kg body weight.along with that administer feroliv @ 5 ml twice daily.
query regarding nutrient management.,"advise to apply urea:ssp:mop @ 15:35:18 kg/bigha, respectively."
asking about the nutrient management in pumpkin,told him to spray tracel 2 @ 2gm / l of water
asking about address of dibrugarh kvk,"dr. hiranya kumar bhattacharyya, kvk
dibrugarh, aau, romai. p.o dibrugarh,
district- dibrugarh, assam- 786010
- - 09419015186 - kvk.dbr@gmail.com drhirangyabh@yahoo.co.in"
asking about the fertilizer doses in coconut,"told him to apply 750 gm urea ,1250 gm ssp ,950 gm mop /plant +20 gm borax at the distance of 2m from the tree by ring method"
asking about nutrient management,recommended to spray bipul @ 2 ml per lit of water
query regarding management of blight.,advise to spray agrimycin @ 2g/lt of water.
query regarding muska domestica,sprinkle  notix powder over the body surface to reduce  the house fly ( muska domestica)
asking about the cultivation procedure of betel vine.,advised to drench the soil with mancojeb and vines should be planted at a distance of 90 cm from row to row and plant to plant .  the planting season is may-aug and to apply fertilzer after 4 months of planting.
query regarding fertilizer dose of coconut,advised to apply urea:ssp:mop @ 750:1250:600 gm/plant with borax 50 gm/plant and multiplex coconut special @ 200gm/plant .
control of stem borer in paddy,"recommended him to apply zinc sulphate- 1 kg/bigha, potash- 1 kg/bigha, tricel 20 ec @ 2 ml/lit of water"
query regarding fertilizer dose coconut,"advised to apply urea-ssp-mop @ 750-1250-750 gm/plant , borax 50gm/plant and multiplex coconut special @ 200gm/plant"
asking about the variety of maize,told him  variety- sonalika and kalyan sona
asking about the control measure of root rot in arecanut,suggested him to spray saaf @2gm/lit of water
asking about the variety,"variety -ganga -5,ganga-1 ,vijoy ,pratap"
asking about varieties name and productions of maize.,advised to use ganga -5 or hi-starch. production  is about 7 qt/ bigha.
asking about the post harvest management in coconut,told him to visit kvk
asking about fertilizer dose of coconut,"recommended to apply urea @ 750gm, ssp @ 1250gm, ssp @ 850 gm and borux @ 50 gm in ring structure at the base of the tree"
asking about cultivation process and variety of pomegranate,"recommended to plant variety likes c0 1,rudra ,mridula at a planting distance 2.5 m and row distance 4.5 m in (feb-march).apply vermicompost or dried cowdung in pits."
control measure of citrus shoot borer.,advised to spray dimacron or nuvacron @ 2 ml/ liter water as directed.
asking about fertilizer dose of plum,"suggested to apply fertilizer as urea-100gm,ssp-200gm,mop-100gm,compost-20kg as basal around the plant as suggested"
asking about the control of aphid in chillies,suggested him to spray rogor @ 2ml/liter of water
leaf curl desease.,advised to spray malathion 50 ec @ 2 ml/ liter water.
asking about bottle gourd query,recommended that application of malathione 50ec@2ml/lit of water
query regarding a inappitance of a pig,pesulin bolus steclin bolus  ors
query regarding diarrhoea,psulin bolus  steclin   ors
asking for control of anthracnose,recommended him to spray captaf @ 2 gram per litre of water
asking about control measure of paddy,recommended that application of ethylin di bromide capsule
asking about control measure of leaf spot,recommended to spray saaf @ 2 g perv lit of water
fungal wilt of brinjal.,advised to spray saaf or bavistin @ 2 gram/ liter water.
asking about treatment diarrhoea in calf.,suggested to administer norflox-tz @ 1 bolus twice daily for 5 days.
asking about top dress in papaya,recommended to apply urea- 100 g per plant
asking about the govrnment scheme,contact him to kvk
uitrition of pumpkin,recommended him to spray tracel 2 @ 2 ml/lit of water
asking for how to prepare seed bed for chilli,prepare seed bed mixing sandy soil with dried cowdung
asking about the gram caterpillar in chilis,told him to spray tricel 20 ec @ 2ml / l of water
asking about the sources of message received regarding agriculture,"explained him that the message are being delivered from ministry of agriculture,kvk,aau."
asking about the fertilizer doses in chillis,"told him to apply 35 kg urea , 50 kg ssp ,13 kg mop / bigha"
control of root rot in brinjal,spray blitox 50 @ 1 gm per liter of water
control of root rot in brinjal,spray blitox 50 @ 1 gm per liter of water
query regarding management of stem rot.,advise to spray 1% bordeaux mixture.
asking about the control measure of leaf curl in pumpkin,suggested him to spray rogor @2ml/lit of water
asking about the control of root rot in brinjal,told him to spray blitox 50 @ 2gm / l of water
micro nutrient requirment in cowpea,spray tracel 2 @ 2 gm per liter of water
asking about address of kvk sivsagar district,recommended to visit kvk located at nazira in sivsagar for queries and problems
query regarding bhut jolokia disease,advised to apply blitox 50wp @ 2gm/lit and regent @ 2 ml/lit for thrips
control of root rot in brinjal,soil drench with blitox 50 @ 1 gm per liter of water
asking about the termites in bhindi,told him to spray tricel 20 ec @ 2ml / l of water
asking about the training in tea,tea expert not available
control of leaf curl in chilli,spray malathion 50 ec @ 2 ml per liter of water
control of fungal infestation in brinjal,recommended him to spray blitox 50 @ 2gm/lit of water
control of pests in beans,recommended him to spray rogor @ 2 ml/lit of water
asking about chilli query,recommended that application of ridomil gold@2gm/lit of water
asking about the control of aphid in cauliflower,suggested him to spray malathion 50 ec @ 2ml/liter of water
asking about the care and management of broiler chicks,"advice to vaccinate f1 at the age of 5-7 days,after that it is advissible to vaccinate the ibd vaccine at the age of 14 days through drinking water route"
asking about fertilizer does in coconut,"recommended that urea@750gm,ssp@1250gm,mop@850gm,borax@50gm,dry cowdung@12kg"
query regarding planting distance of banana,advised to plant the seeding at distance of 1.2m plant to plant and 1.6m row to row
asking about falling of flower in pumpkin and bacterial disease in chili,"recommended to spray mahaphal @ 2ml/l water at 15 days interval
for chili spray streptomycin @ 2ml/l water 3 for days at 3 days interval"
asking about the seedling treatment in chillies,suggested him to use bavistin @ 3gm/kg of seed
asked about fishery query,recommended to apply 40 kg quick lime
query regarding micro-nutrient management.,advise to spray mohafol @ 2g/lt of water.
query regarding mastitis,mammitel for intramammary infusion intamox 2.5 gm   i/m ly for two days  mastilep for topical aplication
asking about bhut chilli query,"recommended to spray formalin@40ml/lit of water for s0il treatment & apply vermicompose,cocopit,bone meal"
want to know basal dose of fertilizer in bhindi,"apply urea 6 kg, ssp 40 kg , mop 10 kg and dried cowdug 10 quintal per bigha as basal dose"
asking for fertilizer dose of pumpkin,"recommended him to apply 14 kg urea, 32 kg ssp and 10 kg mop per bigha, apply half of urea and total amount of ssp and mop at the time of final land preparation. and half of urea after 45 days of sowing."
asking about the nutrient management in drum stick,told  him to apply rootex no.3
asking about tomato query,recommended that application of planofix@1ml/10lit of water
asking about cultural practices,explained him in details
query regarding inflammation of knee,melenox pluus 10 ml --- 4 ml i/ mly
asking for control of termites in potato.,advised to apply malathion 5% dust @ 3.5 kg per bigha as directed.
query regarding bending of neck of a cow,intamox 2.5 gm  dexona 1 ml  normal saline wash the mouth with potash  keep the animal in rest
asking about treatment of anthranose in chillies.,suggested to mix captaf 2gm/liter of water and then spray for the treatment of anthraknose.
asking about vaccination schedule for poultry.,explain in details about vaccination schedule for poultry.
asking about the fertilizer dose for coconut,"recommended to apply urea 750 gm/plant,ssp 1250 gm/plant,mop 900 gm/plant,borax 50 gm/plant mix with dried cowdung in ring method 1.75 mt away from the plant"
asking about immature falling of flower,recommended to spray planofix @ 1 g per 10 lit of water and also apply urea - 100 g ssp- 130 g and mop- 100 g and borax - 40 g per plant around the plant by making a ring at a distance of 40 cm
control measure of leaf curling in chillies,apply rogor @ 2ml/ltr water
asking about aphid problem in chillies,suggested to spray rogor @ 2ml per litre of water
asking about treatment of diarrhoea in cow.,suggested to administer neblon powder @ 50 gm twice daily for 5 days.
late blight in tomato.,advised to spray redomil gold @ 2 gram/ liter water.
asking about the varieties name of sali rice,"suggested him to use ranjit, bahadur, swrna sub-1"
asking about the control of cercospora disease in chillies,suggested him to spray amister @ 1ml/liter of water
asking about control measure of caterpillar,recommended to spray rogor @ 2 ml per lit of water
want to know about organic cultivation of brinjal,explain him in detail
query regarding poultry farming,tetracyclin powder 3-4 gm / lits of water
query regarding poultry farm,use broiler ration in 12 days with liver tonic
query regarding colocasia cultivation,advised to apply iffco npks @ 20gm/lit and vipul @ 3ml/lit
asking about pig farming,"advised him to visit college of veterinary science khanapara guwahati,781022 at livestock production and management department"
asking about the control of earthworm in banana,suggested him to apply furadon @ 10gm/pit
improved variety of bottle gourd,advised him to buy seed from syngenta company
asking about control measure of scales,recommended to spray quinalphos 25 ec @ 2 ml/lit or chlorpyriphos 20 ec @ 2 ml/lit of water
query regarding  poultry,sulfadimidine powder 3-4 gm/ lits of water
query regarding infection in poultry,lixen powder 3-4 gm/ lits of water
asking about variety of brinjal,recommended to used variety pusa purpal lomg or pusa kranti
asking about the fertilizer doses in coconut,"told him to apply 750 gm urea , 1250 gm ssp ,900 gm mop / plant by ring method at the distance of 2m from the tree"
asking about the fertilizer dose for arecanut,"recommended to apply urea 250 gram/plant,ssp 350 gram/plant,mop 200 gram/plant,borax 30 gram/plant mix with dried cowdung in ring method"
"asking about the variety,planting method,and fertilizer dose for banana","recommended variety dwarf cavendish,planting and row distance 1.4 mt and 1.4 mt,trim the seedling roots and apply furadon 3g mud slurry on root zone.apply urea ,ssp mop after 3 months and 5 months of planting"
asking about the control of bacterial leaf spot in chillis,told him to spray saaf @ 2gm / l of water
asking about the control of potato moth,told him to spray malathion 50 ec @ 2ml / l of water
asking for control of flower dropping in chilli,recommended him to spray tracel-2 @ 2 gram per litre of water
query regarding mnanagement of case worm.,advise to spray chloropyriphos @ 2ml/lt of water and also spray tracel 2 @ 2g/lt of water.
asking about the species of the earthworm for preparation  of vermicompost,recommended him to name of the species is eisenia foetida
problem of leaf curling disease in chilli.,advised him to apply rogor 35 ec @ 2 ml / litre of water.
asking about weed management in chilli,recommended to removed the weeds by physical method such as hand weeding or also used weedicide when ever needed in the fellow land with the chemical such as butachlor or glyphosate
asking about the weed management,told him to spray butachlor @ 2ml / l of water
weed management,advised him to apply atrazine @ 5 gm/lit of water
control of mossaic in pumpkin,recommended him to spray rogor @ 2 ml/lit of water
control of bacterial wilt in chillies,recommended him to spray streptomycin @ 1 gm/ 10 lit of water
asking about aphid problem in pumpkin,suggested to spray rogor @ 2ml per litre of water
query regarding broiler feeding,retracyclin 3-4 gm/ lits of water
asking about the control measure for ants in chilli,recommended to apply malathion dust on foliage
query regarding  a pig,enrocin 15 ml anigest 30 gm  floraboost
call related to agriculture,ask yo inform later
asking about micronutrient for chillies,suggested to spray tracel @ 2gm per litre of water
asking about the control of leaf curling in chilli,suggest him to apply rogor 35 ec @ 2ml/litre of water.
asking about the fertilizer dose of tea,suggested him to contact kvk
asking about the field preparation of tea garden,not available
asking about the fertilizer doses in ridge gourd,"told him to apply 36 kg urea , 50 kg ssp ,13 kg mop / bigha"
asking about the control of powdery mildew in chillis,told him to spray contaf @ 1ml / l of water
query regarding pumpkin rot,advised to apply bevistin @ 2gm/lit and tricel20 @ 2ml/lit for paddy stem borer
asking about the control measure of fruit borer in squash,suggested him spray 10 gm molasses and malathion 2ml per lit of water
control of ants in coconut,recommended him to apply malathion 5% dust
asking about the veterinary queries,advised him to contact veterinary college
want to know about soil testing,adviced to contact kvk of dibrugarh district
asking about fertilizer dose in betel vine,recommended to apply urea-50 g ssp- 60 g and mop- 35 g and zinc- 20 g per plant
asking about broiler farming.,explain in details about broiler farming.
query regarding compost making,advised to apply 8-10kg/pit
asking about the preparation of vermicompost,suggested him to apply rock phosphate 8 kg
asking about the control of fruit and shoot borer in brinjal,told him to spray malathion 50 ec @ 2ml / l of water
asking about the control of curling of leaf in chillis,told him to spray amistar @ 2ml / l of water
query regarding lentil cultivation,cultivation time is feb - march
asking about the nutrient management in pumpkin,told him to spray mahafol @ 2ml / l of water
query regarding organic manure,advised to construct a permanent vermi tank for reuse
query regarding kvk contact detail,"dr. hiranya kumar bhattacharyya, kvk dibrugarh, aau, romai. p.o dibrugarh, district- dibrugarh, assam- 786010. ph no :9419015186"
wanted to know the name of improved seeds of tomato,"advised to use punjab suhara, pusa early, pusa ruby or punjab keshari."
asking about the nutrient management in bitter gourd,told him to spray tracel 2 @ 2gm / l of water
asking about the control of fruit and shoot borer in bhindi,told him to spray malathion 50 ec @ 2ml / l of water
control  of insect in chillies,recommended him to spray tricel 20 ec @ 2 ml/lit of water
asking about the sowing time for carrot,recommended sowing time for carrot is begining of oct-nov
query regarding management of wilt.,advise to spray saaf @ 2g/lt of water.
asking for use of growth promoter,recommended him to mahafal @ 2 ml per litre of water
query regarding management of aphid.,advise to spray malathion 50 ec @ 2ml/lt of water.
asking about diarrhoea in piglet.,suggested to adminiter neblon powder @ 5 gm twice daily for 5 days.
asking about mango pulp weevil problem,suggested to spray malathion 50ec @ 2ml per litre of water
control of leaf curl in chilli,spray malathion 50 ec @ 2 ml along with 10 gm juggery per liter of water
asking about the control measure fruit borer in jack fruit,suggested him to spray malathion @2ml/lit of water
query regarding dermatitis of a calf,fenbendazole 150 mg orally  spray topicure over the body coat antibiotic & steroid either oral or i/ m route
asking about cultural practices of chilli,recommended to apply urea- 30 g ssp- 50 g and mop- 20 g per plant
asking about the control measure for caterpillar in chilli,"recommended to spray malathion 50 ec(killer),2 ml/lit water"
asking about the fertilizer dose of bhindi,"suggested him to apply urea-12kg, ssp- 40 kg and mop- 10 kg per bigha"
asking about the control of fruit flies in squash,told him to spray malathion 50 ec @ 2ml / l of water
asking about control measure of powdery mildew,recommended to spray saaf @ 2 g per lit of water
query regarding management of weeds.,advise to spray glyphosate @ 1g/lt of water.
query regarding dietary supplement to a   sow,otocalciumand vimeral should be given   extra broiler feed can be incorporate to sow if the excess  broiler  feed is available in farm
asking about treatment of calcium deficiency in poultry.,suggested to administer ostovet twice daily by mixing with drinking water.
asking about the control of brown mite in wheat,told him to spray tricel 20 ec @ 2ml / l of water
asking about the control of fruit rot in chillis,told hi to spray amistar @ 2ml / l of water
query regarding micro-nutrient management in banana.,advise to spray mohafol @ 2g/lt of water.
asking about ration formulation for cow.,suggested to contact with nutritionist for ration formulation for cow.
leaf curling desease of chilly.,advised to spray malathion 50 ec @ 2 ml/ liter water.
asking about the variety for paddy,"suggested him to grow- masuri, kanaklota etc"
call related to agriculture,ask to inform later
query regarding animal nutrition.,in   cattle  feed mineral supplement sshould be given
asking about training & pruning in guava.,advised him to cut the unwanted branches of the plant.
asking about cultural practices of tea,explained in details
query regarding swine fever,inject enrocin15 ml -1.5 ml i/ mly dexona 1 ml 0.5 mly  paralgin dsors 2-3 bottle  anigest 15 gm  5 gm orally twice daily
asking about the spacing for tea plantation,recommended spacing for tea plantation is 60 cm plan to plant distance and 100 cm between row to row
asking about the control measure for leaf curling virus in chilli,"recommended to spray rogor 35 ec,2 ml/lit water"
asking about the veterinary queries,veterinary expert is not available
asking about how to control debility as well as offfed in piglet of about 1 months old,advice to administer feroliv @ 10 ml daily for 3-5 days
query regarding use of plastic in chilli in rainy season,recommended to use agro net and construct agro net house in summer rainy season
asking about the control of fruit flies in ridge gourd,told him to spray malathion 50 ec @ 2ml / l of water
asking about how to control fowl pox disease in local birds,advice to administer tetracycline powder @ 2.5 gram mixed in 1.5 lits of water and give it daily for 5-7 days
query regarding micro-nutrient management.,advise to spray mohafol @ 2g/lt of water.
query regarding management of aphid.,advise to spray malathion 50 ec @ 2ml/lt of water.
"asking about the spacing,age of transplanting and fertlizer dose for king chilli","recommended spacing 60 cm both row and planting distance,age of the seedlings should be 45 days.urea 30 kg/bigha,ssp 50 kg/bigha,mop 8 kg/bigha and dried cowdung."
control of fungal wilt in chillies,recommended him to spray saaf @ 2 gm/lit of water
control of fruit fly in pumpkin,spray malathion 50 ec @ 2 ml and juggery 10 gm per liter of water
asking about the vetenery,expert not available
control of blight in tomato,"recommended him to 
spray ridomil gold @ 2 gm/lit of water for controlling of blight
spray formalin solution @ 40 ml/lit of water for controlling soil borne disease"
query regarding ectoparacicide,cutirose  can be apply as directed
control of leaf curl in chilli,spray malathion 5o ec five times at 5 days @ 2 ml per liter of water
query regarding infection in broiler,tetracyclin powder 2-3 gm / lits of water
asking about control measure of leaf spot,recommended to spray saaf @ 2 g per lit of water
asking about brinjal query,recommended that application of malathione powder
asking about treatment of conjuctivitis in duck.,suggested to give ciplox eyedrop @ 1 drop in each eye twice daily for 5 days.
asking about control measure of leaf spot,recommended to spray blitox @ 2 g per lit of water
asking about the fertilizer dose of chilli,"suggested him to apply urea- 30 kg, ssp-50 kg and mop- 8 kg per bigha"
asking about the control measure for anthracknose in chilli,"recommended to spray blitox 50,1.5 gram/lit water"
asking about how to improve body weight gain in piglet of about 2 months old,advice to administer feroliv @ 15 ml 2 times daily for 2-3 days in each week
anthracnose desease of chilly.,advised to spray blitox 50 @ 1.5 gram/ liter water.
asking about the control measure for antharacknose in chilli,"recommended to spray blitox 50,1.5 gram/lit water"
asking about aphid problem in chillies,suggested to spray rogor @ 2ml per litre of water
asking about rhizome treatment of ginger,recommended to use mancozeb or captan @ 3gm/kg of seed
asking about control of stored grain pest,recommended not to apply any kind of chemical instead use neem leaves controlling
asking about teh control measure for cut worm in paddy,"recommended to spray tricel 20 ec,2 ml/lit water"
call  related to agriculture,ask to inform later
query regarding  parasite,pancur150 mg  vit b complex  normal saline
asking about fungal infection in brinjal,recommended to saaf @ 2gm/l  or bavistin @ 2gm/l water for 3 days for 3 days interval
asking about the remedy to check flower dropping in okra,"recommended to spray planofix,1 ml/5 lit water"
asking about the control measure for red spider mite in tea,"recommended to spray tafethion,1 lit/400 lit water"
asking about the control measure root rot in chilli,suggested him to spray contaf @1ml/lit of water
asking about the control measure of root rot in ridge gourd,suggested him to spray contaf @1ml/lit of water
asking about the control measure of leaf curl in chilli,suggested him to spray tricel @2ml/lit of water
asking about the control measure of mosaic in cowpea,"suggested him to spray tricel @2ml/lit of water(cowpea), and spray contaf @1ml/lit of water"
asking about the government schemes,advised him to contact agriculture office
asking about the control measure of fruit rot in sponge gourd,suggested him to spray contaf @1ml/lit of water
asking about treatment of diarrhoea in cow.,suggested to administer nt-zole bolus @ 1 bolus twice daily for 5 days for the treatment of diarrhoea in cow.
asking about the way to improve crop growth,"recommended to spray tracel 2,2 gram/lit water"
asking about leaf roller in bhindi,recommended to spray rogor @ 2ml/l water for 3 days at 3 days interval
asking about the control of curling of leaf in chillis,told him to spray amistar @ 2ml / l of water
asking about control of leaf eating caterpillar,recommended to spray rogor @ 2ml/l water
asking about control of leaf eating caterpillar,recommended to spray rogor @ 2ml/l water for 3 days at 3 days interval
asking about the nutrient management in coconut,suggested him to apply coconut special @200 gm/plant
asking about control measure of anthracnose,recommended to spray saaf @ 2 g per lit of water twice after 7 days interval
bacterial wilt of chilly.,advised to spray streptomycin or agromycin @ 1 gram/ 10 liter water.
asking for fertilzer dose of ground nut,"recommended him to apply 4 kg urea, 33 kg ssp and 7 kg mop per bigha"
asking for use of growth promoter in bhindi,recommended him to spray tracel-2 @ 2 gram per litre of water
asking about the control measure in mosaic in payaya,suggested him to spray tricel @2ml/lit of water
asking for control of anthracnose in chilli,recommended him to spray captaf @ 2 gram per litre of water
asking about bacterial blight,recommended to spray agromycin or streptomycin @ 2gm/ 10 l water for 3 days at 3 days interval
control of aphids in maize,recommended him to spray chloropyriphos @ 2 ml/lit of water
asking about treatment of ectoparasites infestation in poultry.,suggested to give notix powder over the body surface.
asking about control measure of powdery mildew,recommended to spray saaf @ 2 g per lit of water
asking about control measure of anthracnose,recommended to spray saaf @ 2 g per lit of water
control of flower dropping in mango,recommended him to spray planofix @ 2 ml/lit of water
asking about the control measure fruit rot in chilli,suggested him to spray amister @1 ml/lit of water
query   regarding  pig farming,imferon injection 1 ml i/ mly to the piglet  swine fever vaccine at 2-3 month of age
query regardingdog bite,wash the area with soap solution  give antirabies sos
asking about the nutrient management in chilli,suggested him to spray tracel @2gm/lit of water
query regarding management of gundhi bug.,advise to apply malathion 5% dust.
asking about control measure of fruit fly,recommended to spray rogor @ 2 ml per lit of water
asking about borux and nutrient application,"recommended to apply borux @ 50gm per plant 
vitamin apply tata tracel 2 or mahaphal 

dr. hiranya kumar bhattacharyya, kvk dibrugarh, aau, romai. p.o dibrugarh, district- dibrugarh, assam- 786010 
ph.no. 09419015186"
query regarding management of micro-nutrient.,advise to spray tracel 2 @ 2g/lt of water.
asking about treatment of worms infestation in pig.,suggested to administer albendazole to the piglets for deworming.
query regarding anthalmintic,fentas  150 mg  orally  liver tonic & b complex orally daily
asking about lime and fertilizer does in 2 kotha area fish pond,"recommended that application of urea@3kg/2ktha/month,ssp@6kg/2kotha/month,lime@5kg/2kotha/month,pond culture(multiplex)vitamin can apply .feed should given on gunny bag"
asking about control measure of leaf spot,recommended to spray saaf @ 2 g per lit o water
asking about how to improve body growth in sow,advice to administer feroliv @ 25 ml 2 times daily
control of bacterial wilt in chillies,recommended him to spray streptomycin @ 1 gm/ 10 lit of water
stem cutting in citrus,recommended him to apply rooting hormone
asking about the control measure of fruit rot in chilli,suggested him to spray amister @1ml/lit of water
query regarding strawbery cultivation,advised to grow strawberry durring the month of oct-nov
asking about the control of wilting in chillis,told him to spray cristocycline @ 1gm / 10 l of water
asking about fertilizer does and liming does in fish pond,"recommended that urea@10kg/bigha/month,ssp@20kg/bigha/month,lime@10kg/bigha/month and application of vitamin pond culture(multiplex)"
asking about control measure of fruit fly,recommended to spray rogor @ 2 ml per lit of water
asking about the leaf curl virus in chillis,told him to spray rogor @ 2ml / l of water
query regarding management of mosaic disease.,advise to spray rogor @ 2ml/lt of water.
query regarding planting time of tomato.,advise to planting in the month of september-october.
asking about the control of insects in cowpea,told him to spray desis @ 2gm / l of water
asking about the control measure for mealy bug in tea,"recommended to spray ustaad,1.5 ml/lit water"
asking about control measure of caterpillar,recommended to spray rogor @ 2 ml per lit of water
asking about the way to check flower dropping in chilli,"recommended to spray planofix(anaa),1 ml/5 lit water or nagamruta(anaa),1 ml/5 lit water"
asking about the control measure for fungal wilt in chilli,"recommended to spray blitox 50,1.5 gram/lit water"
asked about  agei query,transfereeed
problem of leaf eating caterpiller in bhindi.,advised him to apply malathion 50 ec or killer @ 2 ml / litre of water
asking about control measure of fruit fly,recommended to spray rogor @ 2 ml per lit of water
asking about fish pond management,"recommended that urea@10kg/bigha/month,ssp@20kg/bigha/month,lime@10kg/bigha/month .application of vitamin pond culture(multiplex)"
asking about treatment of diarrhoea in goat.,suggested to administer norflox-tz @ 1 tab twice daily for 5 days.
