questions,answers,clean_question,clean_answer
asking about the control measure aphids on citrus,suggested him to spray malathion @2ml/lit of water,What is the control measure aphids on citrus?,You can spray malathion @2ml/lit of water
asking about variety of boro rice,recommend to used variety kanaklata or jaymati,What is variety of boro rice?,Recommend to used variety kanaklata or jaymati
asking about control measure of bacterial wilt,recommended to spray agrimycine @ 1 g per 10 lit of water,What is control measure of bacterial wilt?,You should spray agrimycine @ 1 g per 10 lit of water
asking about the curling of leaf in chillis,suggested him to spray rogor @ 2ml / l of water,What is the curling of leaf in chillis?,You can spray rogor @ 2ml / l of water
asking about the earthworms in banana,suggested him to apply furadon 3g @ 40 gm / plant by ring method around the tree,What is the earthworms in banana?,You can apply furadon 3g @ 40 gm / plant by ring method around the tree
asking about control measure of leaf spot,recommended to spray saaf @ 2 g per lit of water twice after 4 days interval,What is control measure of leaf spot?,You should spray saaf @ 2 g per lit of water twice after 4 days interval
query regarding pig farming,swine fever vaccine at 3 month of age iron supplement with diet to prevent piglet anaemia,What is pig farming?,Swine fever vaccine at 3 month of age iron supplement with diet to prevent piglet anaemia
query regarding piglet,iron dextrum injection can be given to the piglet,What is piglet?,Iron dextrum injection can be given to the piglet
query regarding production of lemon,recommended to take the sample to the nearest kvk situated at lahoal,What is production of lemon?,You should take the sample to the nearest kvk situated at lahoal
asking about the control measure of powdery mildew in papaya,suggested him to spray contaf @1ml/lit of water,What is the control measure of powdery mildew in papaya?,You can spray contaf @1ml/lit of water
query regarding liming in pond,advice him to apply lime @ 5kg/bighas of water spread area,What is liming in pond?,You should apply lime @ 5kg/bighas of water spread area
query regarding sowing time of pea.,advise that sowing time is october-november.,What is sowing time of pea.?,Advise that sowing time is october-november.
asking about the veterinary queries,veterinary expert is not available,What is the veterinary queries?,Veterinary expert is not available
asking about mineral suppkliment for poultry.,suggested to administer agrimin fort by mixing with feed twice daily.,What is mineral suppkliment for poultry.?,Suggested to administer agrimin fort by mixing with feed twice daily.
asking about the cultivation procedure of termaric,advised him in details cultivation method of termaric,What is the cultivation procedure of termaric?,Advised him in details cultivation method of termaric
asking about the soil treatment for bhut jalakia,suggested him to treated the soil with formalin @40 ml/lit of water and covered the land with polythene,What is the soil treatment for bhut jalakia?,You can treated the soil with formalin @40 ml/lit of water and covered the land with polythene
query regarding broiler infection,tetracyclin powder 4 gm/ lits of water,What is broiler infection?,Tetracyclin powder 4 gm/ lits of water
asking about the control measure of powdery mildew in tea,suggested him to spray contaf @1ml/lit of water,What is the control measure of powdery mildew in tea?,You can spray contaf @1ml/lit of water
asking about rotting in tender leaves,recommended to spray saaf or bavistin @ 2gm/l water at 3 days interval,What is rotting in tender leaves?,You should spray saaf or bavistin @ 2gm/l water at 3 days interval
asking about the control measure of termite in coconut,suggested him to spray malathion @2ml/lit of water,What is the control measure of termite in coconut?,You can spray malathion @2ml/lit of water
asking about ymv problem in papaya,suggested to spray rogor @ 2ml per litre of water,What is ymv problem in papaya?,Suggested to spray rogor @ 2ml per litre of water
asking for use of growth promoter,recommended him to spray tracel-2 @ 2 gram per litre of water,Asking for use of growth promoter?,Recommended him to spray tracel-2 @ 2 gram per litre of water
asking about the wilting in chiilis,suggested him to spray streptocycline @ 1gm /  10l of water,What is the wilting in chiilis?,You can spray streptocycline @ 1gm / 10l of water
asking about the ridge gourd fertilizer,"suggested him to apply 6 kg urea ,25 kg ssp,7 kg mop / bigha 
seed rate -1kg / bigha
spacing-row to row *plant to plant 
       1.5m-2.5m*60 cm-1.2m",What is the ridge gourd fertilizer?,"You can apply 6 kg urea ,25 kg ssp,7 kg mop / bigha seed rate -1kg / bigha spacing-row to row plant to plant 1.5m-2.5m60 cm-1.2m"
asking about the government scheme,suggested him to contact agericulture office,What is the government scheme?,You can contact agericulture office
asking about the government scheme,suggested him to contact to agriculture office,What is the government scheme?,You can contact to agriculture office
asking about source of good breed goat for farming.,suggested to contact with byrnihut goat research station for good breed goat.,What is source of good breed goat for farming.?,Suggested to contact with byrnihut goat research station for good breed goat.
control of flower dropping in mango,advised him to spray planofix @ 1 ml/ 10 lit of water,Control of flower dropping in mango?,Advised him to spray planofix @ 1 ml/ 10 lit of water
asking about the specing of brinjal,suggested him to row-row-80 cm  and plant-plant- 75 cm,What is the specing of brinjal?,You can row-row-80 cm and plant-plant- 75 cm
asking about the cultivation practices of lemmon,adviced him in details cultivation practices,What is the cultivation practices of lemmon?,Adviced him in details cultivation practices
asking about fertilizer dose in mango,recommended to apply urea - 200 g ssp -250 and mop- 180 g per plant,What is fertilizer dose in mango?,You should apply urea - 200 g ssp -250 and mop- 180 g per plant
asking about control measure of leaf spot,recommended to spray saaf @ 1 g per lit of water twice after 5 days interval,What is control measure of leaf spot?,You should spray saaf @ 1 g per lit of water twice after 5 days interval
asking about the fertilizer dose of bhut jolokia,"suggested him to aplly urea-16 kg,ssp- 8 kg and mop-8 kg per bigha",What is the fertilizer dose of bhut jolokia?,"You can aplly urea-16 kg,ssp- 8 kg and mop-8 kg per bigha"
asking about the spacing in chilli,"suggested him to plant- plant- 100cm, and row-row-75 cm",What is the spacing in chilli?,"You can plant- plant- 100cm, and row-row-75 cm"
asking about control measure of caterpillar,recommended to spray rogor @ 2 ml per lit of water twice after 5 days interval,What is control measure of caterpillar?,You should spray rogor @ 2 ml per lit of water twice after 5 days interval
asking about the trainig,told him to visit kvk,What is the trainig?,Told him to visit kvk
asking about the control of rodents in rice field,suggested him to apply zinc phosphide,What is the control of rodents in rice field?,You can apply zinc phosphide
query regarding lameness of a bullock,melonex plus bolus  2 bolus bice in daily,What is lameness of a bullock?,Melonex plus bolus 2 bolus bice in daily
asking about the fertilizer dose of bhut jalakia,"suggested him to apply urea-16 kg, ssp- 8kg, and mop- 8 kg per bigha",What is the fertilizer dose of bhut jalakia?,"You can apply urea-16 kg, ssp- 8kg, and mop- 8 kg per bigha"
asking about the nutrient management in paddy,suggested him to apply tracel @2gm/lit of water,What is the nutrient management in paddy?,You can apply tracel @2gm/lit of water
asking about the control measure powdery mildew in papaya,suggested him to spray contaf @1ml/lit of water,What is the control measure powdery mildew in papaya?,You can spray contaf @1ml/lit of water
asking about the control measure powdery mildew in papaya,suggested him to spray contaf @1ml/lit of water,What is the control measure powdery mildew in papaya?,You can spray contaf @1ml/lit of water
asking about cultivation practices of citrus,suggested him to cutting semi hard wood,What is cultivation practices of citrus?,You can cutting semi hard wood
query regarding feed additive  during last trimester of pregnency,extra  calcium supplement can be given with multivitamin,What is feed additive during last trimester of pregnency?,Extra calcium supplement can be given with multivitamin
query regarding some goat,genticyn e/ e drop 2-3 drops on affected eye,What is some goat?,Genticyn e/ e drop 2-3 drops on affected eye
query regarding eye infection of a capra hircus,genticyn  eye drop 2-3 drops to be apply on the affected eye,What is eye infection of a capra hircus?,Genticyn eye drop 2-3 drops to be apply on the affected eye
query regarding variety of ahu rice.,"advise to grow varieties like luit, kapili.",What is variety of ahu rice.?,"You should grow varieties like luit, kapili."
query regarding variety of brinjal.,"advise to grow varieties like pusa purple long, joshi and pusa kranti.",What is variety of brinjal.?,"You should grow varieties like pusa purple long, joshi and pusa kranti."
asking about the fertilizer dose for pumpkin,"recommended to apply dried cowdung,urea 14 kg/bigha,ssp 32 kg/bigha,mop 12 kg/bigha",What is the fertilizer dose for pumpkin?,"You should apply dried cowdung,urea 14 kg/bigha,ssp 32 kg/bigha,mop 12 kg/bigha"
asking about the nutrient management in pumpkin,told him to spray tracel 2 @ 2gm / l of water,What is the nutrient management in pumpkin?,Told him to spray tracel 2 @ 2gm / l of water
asking about recommended variety of okra,recommended to used variety prabhani kranti,What is recommended variety of okra?,You should used variety prabhani kranti
asking about variety of tomato,recommended to used variety pusa ruby or punjab chuhara,What is variety of tomato?,You should used variety pusa ruby or punjab chuhara
query regarding variety of okra.,"advise to grow varieties like pusa sawani, arka anamika and prabhani kranti etc.",What is variety of okra.?,"You should grow varieties like pusa sawani, arka anamika and prabhani kranti etc."
query regarding infection in broiler,topicure  for  topical application tetracycline powder 3-4 gm/ lits of water,What is infection in broiler?,Topicure for topical application tetracycline powder 3-4 gm/ lits of water
query regarding fertilizer dose in rice,advised to apply urea:ssp:mop @ 19:27:8 kg/bigha with 2kg/bigha znso4 and 1 kg/bigha borax,What is fertilizer dose in rice?,Advised to apply urea:ssp:mop @ 19:27:8 kg/bigha with 2kg/bigha znso4 and 1 kg/bigha borax
asking about the cultural practices in coconut,"sowing nut -1m wide and 30 cm raised beds of required length should be prepared
planting distance-7.5m*7.5m
pit size-1m*1m*1m
pit filling-mixture of top soil,20 kg cowdung(gobar)and 100gm og 5%malathion dust upto 2/3rd of pit",What is the cultural practices in coconut?,"Sowing nut -1m wide and 30 cm raised beds of required length should be prepared planting distance-7.5m7.5m pit size-1m1m1m pit filling-mixture of top soil,20 kg cowdunggobarand 100gm og 5malathion dust upto 2/3rd of pit"
asking about how to control debility in cow,advice to administer brotone @40-50ml daily for 5-7 days;also administer ors @2 packet daily for 3-5 days at morning and evening time,What is what is the best way to control debility in cow?,Advice to administer brotone @40-50ml daily for 5-7 daysalso administer ors @2 packet daily for 3-5 days at morning and evening time
asking about the fruit flies in bottle gourd,told him to spray malathion 50 ec @2ml / l of water,What is the fruit flies in bottle gourd?,Told him to spray malathion 50 ec @2ml / l of water
asking about variety of brinjal,recommended to used variety pusa kranti,What is variety of brinjal?,You should used variety pusa kranti
asking about treatment of worms infestation in piglet.,suggested to administer panacur 150 mg tab @ 1 tab/30 kg body weight.along with that administer feroliv @ 5 ml twice daily.,What is treatment of worms infestation in piglet.?,Suggested to administer panacur 150 mg tab @ 1 tab/30 kg body weight.along with that administer feroliv @ 5 ml twice daily.
query regarding nutrient management.,"advise to apply urea:ssp:mop @ 15:35:18 kg/bigha, respectively.",What is nutrient management.?,"You should apply urea:ssp:mop @ 15:35:18 kg/bigha, respectively."
asking about the nutrient management in pumpkin,told him to spray tracel 2 @ 2gm / l of water,What is the nutrient management in pumpkin?,Told him to spray tracel 2 @ 2gm / l of water
asking about address of dibrugarh kvk,"dr. hiranya kumar bhattacharyya, kvk
dibrugarh, aau, romai. p.o dibrugarh,
district- dibrugarh, assam- 786010
- - 09419015186 - kvk.dbr@gmail.com drhirangyabh@yahoo.co.in",What is address of dibrugarh kvk?,"Dr. hiranya kumar bhattacharyya, kvk dibrugarh, aau, romai. p.o dibrugarh, district- dibrugarh, assam- 786010 - - 09419015186 - kvk.dbr@gmail.com drhirangyabh@yahoo.co.in"
asking about the fertilizer doses in coconut,"told him to apply 750 gm urea ,1250 gm ssp ,950 gm mop /plant +20 gm borax at the distance of 2m from the tree by ring method",What is the fertilizer doses in coconut?,"Told him to apply 750 gm urea ,1250 gm ssp ,950 gm mop /plant 20 gm borax at the distance of 2m from the tree by ring method"
asking about nutrient management,recommended to spray bipul @ 2 ml per lit of water,What is nutrient management?,You should spray bipul @ 2 ml per lit of water
query regarding management of blight.,advise to spray agrimycin @ 2g/lt of water.,What is management of blight.?,You should spray agrimycin @ 2g/lt of water.
query regarding muska domestica,sprinkle  notix powder over the body surface to reduce  the house fly ( muska domestica),What is muska domestica?,Sprinkle notix powder over the body surface to reduce the house fly  muska domestica
asking about the cultivation procedure of betel vine.,advised to drench the soil with mancojeb and vines should be planted at a distance of 90 cm from row to row and plant to plant .  the planting season is may-aug and to apply fertilzer after 4 months of planting.,What is the cultivation procedure of betel vine.?,Advised to drench the soil with mancojeb and vines should be planted at a distance of 90 cm from row to row and plant to plant . the planting season is may-aug and to apply fertilzer after 4 months of planting.
query regarding fertilizer dose of coconut,advised to apply urea:ssp:mop @ 750:1250:600 gm/plant with borax 50 gm/plant and multiplex coconut special @ 200gm/plant .,What is fertilizer dose of coconut?,Advised to apply urea:ssp:mop @ 750:1250:600 gm/plant with borax 50 gm/plant and multiplex coconut special @ 200gm/plant .
control of stem borer in paddy,"recommended him to apply zinc sulphate- 1 kg/bigha, potash- 1 kg/bigha, tricel 20 ec @ 2 ml/lit of water",Control of stem borer in paddy?,"Recommended him to apply zinc sulphate- 1 kg/bigha, potash- 1 kg/bigha, tricel 20 ec @ 2 ml/lit of water"
query regarding fertilizer dose coconut,"advised to apply urea-ssp-mop @ 750-1250-750 gm/plant , borax 50gm/plant and multiplex coconut special @ 200gm/plant",What is fertilizer dose coconut?,"Advised to apply urea-ssp-mop @ 750-1250-750 gm/plant , borax 50gm/plant and multiplex coconut special @ 200gm/plant"
asking about the variety of maize,told him  variety- sonalika and kalyan sona,What is the variety of maize?,Told him variety- sonalika and kalyan sona
asking about the control measure of root rot in arecanut,suggested him to spray saaf @2gm/lit of water,What is the control measure of root rot in arecanut?,You can spray saaf @2gm/lit of water
asking about the variety,"variety -ganga -5,ganga-1 ,vijoy ,pratap",What is the variety?,"Variety -ganga -5,ganga-1 ,vijoy ,pratap"
asking about varieties name and productions of maize.,advised to use ganga -5 or hi-starch. production  is about 7 qt/ bigha.,What is varieties name and productions of maize.?,Advised to use ganga -5 or hi-starch. production is about 7 qt/ bigha.
asking about the post harvest management in coconut,told him to visit kvk,What is the post harvest management in coconut?,Told him to visit kvk
asking about fertilizer dose of coconut,"recommended to apply urea @ 750gm, ssp @ 1250gm, ssp @ 850 gm and borux @ 50 gm in ring structure at the base of the tree",What is fertilizer dose of coconut?,"You should apply urea @ 750gm, ssp @ 1250gm, ssp @ 850 gm and borux @ 50 gm in ring structure at the base of the tree"
asking about cultivation process and variety of pomegranate,"recommended to plant variety likes c0 1,rudra ,mridula at a planting distance 2.5 m and row distance 4.5 m in (feb-march).apply vermicompost or dried cowdung in pits.",What is cultivation process and variety of pomegranate?,"You should plant variety likes c0 1,rudra ,mridula at a planting distance 2.5 m and row distance 4.5 m in feb-march.apply vermicompost or dried cowdung in pits."
control measure of citrus shoot borer.,advised to spray dimacron or nuvacron @ 2 ml/ liter water as directed.,Control measure of citrus shoot borer.?,Advised to spray dimacron or nuvacron @ 2 ml/ liter water as directed.
asking about fertilizer dose of plum,"suggested to apply fertilizer as urea-100gm,ssp-200gm,mop-100gm,compost-20kg as basal around the plant as suggested",What is fertilizer dose of plum?,"Suggested to apply fertilizer as urea-100gm,ssp-200gm,mop-100gm,compost-20kg as basal around the plant as suggested"
asking about the control of aphid in chillies,suggested him to spray rogor @ 2ml/liter of water,What is the control of aphid in chillies?,You can spray rogor @ 2ml/liter of water
leaf curl desease.,advised to spray malathion 50 ec @ 2 ml/ liter water.,Leaf curl desease.?,Advised to spray malathion 50 ec @ 2 ml/ liter water.
asking about bottle gourd query,recommended that application of malathione 50ec@2ml/lit of water,What is bottle gourd query?,Recommended that application of malathione 50ec@2ml/lit of water
query regarding a inappitance of a pig,pesulin bolus steclin bolus  ors,What is a inappitance of a pig?,Pesulin bolus steclin bolus ors
query regarding diarrhoea,psulin bolus  steclin   ors,What is diarrhoea?,Psulin bolus steclin ors
asking for control of anthracnose,recommended him to spray captaf @ 2 gram per litre of water,Asking for control of anthracnose?,Recommended him to spray captaf @ 2 gram per litre of water
asking about control measure of paddy,recommended that application of ethylin di bromide capsule,What is control measure of paddy?,Recommended that application of ethylin di bromide capsule
asking about control measure of leaf spot,recommended to spray saaf @ 2 g perv lit of water,What is control measure of leaf spot?,You should spray saaf @ 2 g perv lit of water
fungal wilt of brinjal.,advised to spray saaf or bavistin @ 2 gram/ liter water.,Fungal wilt of brinjal.?,Advised to spray saaf or bavistin @ 2 gram/ liter water.
asking about treatment diarrhoea in calf.,suggested to administer norflox-tz @ 1 bolus twice daily for 5 days.,What is treatment diarrhoea in calf.?,Suggested to administer norflox-tz @ 1 bolus twice daily for 5 days.
asking about top dress in papaya,recommended to apply urea- 100 g per plant,What is top dress in papaya?,You should apply urea- 100 g per plant
asking about the govrnment scheme,contact him to kvk,What is the govrnment scheme?,Contact him to kvk
uitrition of pumpkin,recommended him to spray tracel 2 @ 2 ml/lit of water,Uitrition of pumpkin?,Recommended him to spray tracel 2 @ 2 ml/lit of water
asking for how to prepare seed bed for chilli,prepare seed bed mixing sandy soil with dried cowdung,Asking for what is the best way to prepare seed bed for chilli?,Prepare seed bed mixing sandy soil with dried cowdung
asking about the gram caterpillar in chilis,told him to spray tricel 20 ec @ 2ml / l of water,What is the gram caterpillar in chilis?,Told him to spray tricel 20 ec @ 2ml / l of water
asking about the sources of message received regarding agriculture,"explained him that the message are being delivered from ministry of agriculture,kvk,aau.",What is the sources of message received regarding agriculture?,"Explained him that the message are being delivered from ministry of agriculture,kvk,aau."
asking about the fertilizer doses in chillis,"told him to apply 35 kg urea , 50 kg ssp ,13 kg mop / bigha",What is the fertilizer doses in chillis?,"Told him to apply 35 kg urea , 50 kg ssp ,13 kg mop / bigha"
control of root rot in brinjal,spray blitox 50 @ 1 gm per liter of water,Control of root rot in brinjal?,Spray blitox 50 @ 1 gm per liter of water
control of root rot in brinjal,spray blitox 50 @ 1 gm per liter of water,Control of root rot in brinjal?,Spray blitox 50 @ 1 gm per liter of water
query regarding management of stem rot.,advise to spray 1% bordeaux mixture.,What is management of stem rot.?,You should spray 1 bordeaux mixture.
asking about the control measure of leaf curl in pumpkin,suggested him to spray rogor @2ml/lit of water,What is the control measure of leaf curl in pumpkin?,You can spray rogor @2ml/lit of water
asking about the control of root rot in brinjal,told him to spray blitox 50 @ 2gm / l of water,What is the control of root rot in brinjal?,Told him to spray blitox 50 @ 2gm / l of water
micro nutrient requirment in cowpea,spray tracel 2 @ 2 gm per liter of water,Micro nutrient requirment in cowpea?,Spray tracel 2 @ 2 gm per liter of water
asking about address of kvk sivsagar district,recommended to visit kvk located at nazira in sivsagar for queries and problems,What is address of kvk sivsagar district?,You should visit kvk located at nazira in sivsagar for queries and problems
query regarding bhut jolokia disease,advised to apply blitox 50wp @ 2gm/lit and regent @ 2 ml/lit for thrips,What is bhut jolokia disease?,Advised to apply blitox 50wp @ 2gm/lit and regent @ 2 ml/lit for thrips
control of root rot in brinjal,soil drench with blitox 50 @ 1 gm per liter of water,Control of root rot in brinjal?,Soil drench with blitox 50 @ 1 gm per liter of water
asking about the termites in bhindi,told him to spray tricel 20 ec @ 2ml / l of water,What is the termites in bhindi?,Told him to spray tricel 20 ec @ 2ml / l of water
asking about the training in tea,tea expert not available,What is the training in tea?,Tea expert not available
control of leaf curl in chilli,spray malathion 50 ec @ 2 ml per liter of water,Control of leaf curl in chilli?,Spray malathion 50 ec @ 2 ml per liter of water
control of fungal infestation in brinjal,recommended him to spray blitox 50 @ 2gm/lit of water,Control of fungal infestation in brinjal?,Recommended him to spray blitox 50 @ 2gm/lit of water
control of pests in beans,recommended him to spray rogor @ 2 ml/lit of water,Control of pests in beans?,Recommended him to spray rogor @ 2 ml/lit of water
asking about chilli query,recommended that application of ridomil gold@2gm/lit of water,What is chilli query?,Recommended that application of ridomil gold@2gm/lit of water
asking about the control of aphid in cauliflower,suggested him to spray malathion 50 ec @ 2ml/liter of water,What is the control of aphid in cauliflower?,You can spray malathion 50 ec @ 2ml/liter of water
asking about the care and management of broiler chicks,"advice to vaccinate f1 at the age of 5-7 days,after that it is advissible to vaccinate the ibd vaccine at the age of 14 days through drinking water route",What is the care and management of broiler chicks?,"Advice to vaccinate f1 at the age of 5-7 days,after that it is advissible to vaccinate the ibd vaccine at the age of 14 days through drinking water route"
asking about fertilizer does in coconut,"recommended that urea@750gm,ssp@1250gm,mop@850gm,borax@50gm,dry cowdung@12kg",What is fertilizer does in coconut?,"Recommended that urea@750gm,ssp@1250gm,mop@850gm,borax@50gm,dry cowdung@12kg"
query regarding planting distance of banana,advised to plant the seeding at distance of 1.2m plant to plant and 1.6m row to row,What is planting distance of banana?,Advised to plant the seeding at distance of 1.2m plant to plant and 1.6m row to row
asking about falling of flower in pumpkin and bacterial disease in chili,"recommended to spray mahaphal @ 2ml/l water at 15 days interval
for chili spray streptomycin @ 2ml/l water 3 for days at 3 days interval",What is falling of flower in pumpkin and bacterial disease in chili?,You should spray mahaphal @ 2ml/l water at 15 days interval for chili spray streptomycin @ 2ml/l water 3 for days at 3 days interval
asking about the seedling treatment in chillies,suggested him to use bavistin @ 3gm/kg of seed,What is the seedling treatment in chillies?,You can use bavistin @ 3gm/kg of seed
asked about fishery query,recommended to apply 40 kg quick lime,Asked about fishery query?,You should apply 40 kg quick lime
query regarding micro-nutrient management.,advise to spray mohafol @ 2g/lt of water.,What is micro-nutrient management.?,You should spray mohafol @ 2g/lt of water.
query regarding mastitis,mammitel for intramammary infusion intamox 2.5 gm   i/m ly for two days  mastilep for topical aplication,What is mastitis?,Mammitel for intramammary infusion intamox 2.5 gm i/m ly for two days mastilep for topical aplication
asking about bhut chilli query,"recommended to spray formalin@40ml/lit of water for s0il treatment & apply vermicompose,cocopit,bone meal",What is bhut chilli query?,"You should spray formalin@40ml/lit of water for s0il treatment  apply vermicompose,cocopit,bone meal"
want to know basal dose of fertilizer in bhindi,"apply urea 6 kg, ssp 40 kg , mop 10 kg and dried cowdug 10 quintal per bigha as basal dose",Want to know basal dose of fertilizer in bhindi?,"Apply urea 6 kg, ssp 40 kg , mop 10 kg and dried cowdug 10 quintal per bigha as basal dose"
asking for fertilizer dose of pumpkin,"recommended him to apply 14 kg urea, 32 kg ssp and 10 kg mop per bigha, apply half of urea and total amount of ssp and mop at the time of final land preparation. and half of urea after 45 days of sowing.",Asking for fertilizer dose of pumpkin?,"Recommended him to apply 14 kg urea, 32 kg ssp and 10 kg mop per bigha, apply half of urea and total amount of ssp and mop at the time of final land preparation. and half of urea after 45 days of sowing."
asking about the nutrient management in drum stick,told  him to apply rootex no.3,What is the nutrient management in drum stick?,Told him to apply rootex no.3
asking about tomato query,recommended that application of planofix@1ml/10lit of water,What is tomato query?,Recommended that application of planofix@1ml/10lit of water
asking about cultural practices,explained him in details,What is cultural practices?,Explained him in details
query regarding inflammation of knee,melenox pluus 10 ml --- 4 ml i/ mly,What is inflammation of knee?,Melenox pluus 10 ml --- 4 ml i/ mly
asking for control of termites in potato.,advised to apply malathion 5% dust @ 3.5 kg per bigha as directed.,Asking for control of termites in potato.?,Advised to apply malathion 5 dust @ 3.5 kg per bigha as directed.
query regarding bending of neck of a cow,intamox 2.5 gm  dexona 1 ml  normal saline wash the mouth with potash  keep the animal in rest,What is bending of neck of a cow?,Intamox 2.5 gm dexona 1 ml normal saline wash the mouth with potash keep the animal in rest
asking about treatment of anthranose in chillies.,suggested to mix captaf 2gm/liter of water and then spray for the treatment of anthraknose.,What is treatment of anthranose in chillies.?,Suggested to mix captaf 2gm/liter of water and then spray for the treatment of anthraknose.
asking about vaccination schedule for poultry.,explain in details about vaccination schedule for poultry.,What is vaccination schedule for poultry.?,Explain in details about vaccination schedule for poultry.
asking about the fertilizer dose for coconut,"recommended to apply urea 750 gm/plant,ssp 1250 gm/plant,mop 900 gm/plant,borax 50 gm/plant mix with dried cowdung in ring method 1.75 mt away from the plant",What is the fertilizer dose for coconut?,"You should apply urea 750 gm/plant,ssp 1250 gm/plant,mop 900 gm/plant,borax 50 gm/plant mix with dried cowdung in ring method 1.75 mt away from the plant"
asking about immature falling of flower,recommended to spray planofix @ 1 g per 10 lit of water and also apply urea - 100 g ssp- 130 g and mop- 100 g and borax - 40 g per plant around the plant by making a ring at a distance of 40 cm,What is immature falling of flower?,You should spray planofix @ 1 g per 10 lit of water and also apply urea - 100 g ssp- 130 g and mop- 100 g and borax - 40 g per plant around the plant by making a ring at a distance of 40 cm
control measure of leaf curling in chillies,apply rogor @ 2ml/ltr water,Control measure of leaf curling in chillies?,Apply rogor @ 2ml/ltr water
asking about aphid problem in chillies,suggested to spray rogor @ 2ml per litre of water,What is aphid problem in chillies?,Suggested to spray rogor @ 2ml per litre of water
asking about treatment of diarrhoea in cow.,suggested to administer neblon powder @ 50 gm twice daily for 5 days.,What is treatment of diarrhoea in cow.?,Suggested to administer neblon powder @ 50 gm twice daily for 5 days.
late blight in tomato.,advised to spray redomil gold @ 2 gram/ liter water.,Late blight in tomato.?,Advised to spray redomil gold @ 2 gram/ liter water.
asking about the varieties name of sali rice,"suggested him to use ranjit, bahadur, swrna sub-1",What is the varieties name of sali rice?,"You can use ranjit, bahadur, swrna sub-1"
asking about the control of cercospora disease in chillies,suggested him to spray amister @ 1ml/liter of water,What is the control of cercospora disease in chillies?,You can spray amister @ 1ml/liter of water
asking about control measure of caterpillar,recommended to spray rogor @ 2 ml per lit of water,What is control measure of caterpillar?,You should spray rogor @ 2 ml per lit of water
want to know about organic cultivation of brinjal,explain him in detail,Want to know about organic cultivation of brinjal?,Explain him in detail
query regarding poultry farming,tetracyclin powder 3-4 gm / lits of water,What is poultry farming?,Tetracyclin powder 3-4 gm / lits of water
query regarding poultry farm,use broiler ration in 12 days with liver tonic,What is poultry farm?,Use broiler ration in 12 days with liver tonic
query regarding colocasia cultivation,advised to apply iffco npks @ 20gm/lit and vipul @ 3ml/lit,What is colocasia cultivation?,Advised to apply iffco npks @ 20gm/lit and vipul @ 3ml/lit
asking about pig farming,"advised him to visit college of veterinary science khanapara guwahati,781022 at livestock production and management department",What is pig farming?,"Advised him to visit college of veterinary science khanapara guwahati,781022 at livestock production and management department"
asking about the control of earthworm in banana,suggested him to apply furadon @ 10gm/pit,What is the control of earthworm in banana?,You can apply furadon @ 10gm/pit
improved variety of bottle gourd,advised him to buy seed from syngenta company,Improved variety of bottle gourd?,Advised him to buy seed from syngenta company
asking about control measure of scales,recommended to spray quinalphos 25 ec @ 2 ml/lit or chlorpyriphos 20 ec @ 2 ml/lit of water,What is control measure of scales?,You should spray quinalphos 25 ec @ 2 ml/lit or chlorpyriphos 20 ec @ 2 ml/lit of water
query regarding  poultry,sulfadimidine powder 3-4 gm/ lits of water,What is poultry?,Sulfadimidine powder 3-4 gm/ lits of water
query regarding infection in poultry,lixen powder 3-4 gm/ lits of water,What is infection in poultry?,Lixen powder 3-4 gm/ lits of water
